"network_id","region_label","n_nodes","node_ids"
"chapter4_aggregate","Obedience zone",11,"authority_legitimacy_intent | authority_maintenance | breach_correction | hierarchy_authority | non_negotiable_army_order | obedience_threshold | operational_reliability_risk | public_reputation_expectation | punishment_enforcement | rule_order_tacit_norms | trust_credibility"
"chapter4_aggregate","Internalisation zone",13,"conformity_without_assent | context_observation_variability | extrinsic_motive_compliance | goal_persistence | innate_natural_claim | moral_neutral_discipline | personal_responsibility_moralisation | prior_home_values | prior_socialisation_mismatch | repetition_habit_memory | self_discipline_personal_rule | self_regulation_autonomy | widened_life_governance"
"chapter4_aggregate","Performativity zone",10,"consequence_managed_compliance | durability_after_control | eye_service_appearance_gap | motivation_vs_discipline | standard_uncertainty_modelling | strategic_display_persona | surveillance_visibility | unwatched_durability_test | values_character_carrier | visible_signs_legibility"
"chapter5_aggregate","Hearts-and-minds zone",10,"consequence_linkage | explanatory_reasoning | habit_repetition | motivational_activation | persistence_beyond_training | psychological_uncertainty | reciprocal_obligation | relational_influence | standard_setting | symbolic_coercion"
"chapter5_aggregate","Individual-body zone",6,"adaptation_timetable | bodily_restriction | bodily_sign_reading | coercive_correction | durability_testing | habit_interruption"
"chapter5_aggregate","Group-tuning zone",9,"collective_accountability | competitive_pressure | emulative_alignment | equal_standard_enforcement | factionalisation_risk | group_standard_imposition | lateral_surveillance | peer_correction | unstable_group_cohesion"
"chapter5_aggregate","Bomb Night zone",8,"accountability_orientation | bodily_proof | bodily_regulation | embodied_standardisation | ritualised_unity | symbolic_cohesion | temporal_control | visibility_supervision"
"chapter6_aggregate","Breaking zone",9,"bodily_harm_danger | depletion_exhaustion | discipline_boundary_judgement | family_separation_priority | humiliation_display | psychological_wounding | racialised_degradation | temporal_disruption | verbal_degradation"
"chapter6_aggregate","Belonging zone",11,"authority_disregard | exclusion_isolation | group_fragmentation | learning_support | needed_responsibility | peer_care_solidarity | peer_mistrust_betrayal | respect_recognition | self_protection_boundary | silencing_nonresponse | structural_powerlessness"
"chapter6_aggregate","Becoming zone",11,"alternative_oppositional_future | dangerous_becoming | endurance_conditioning | group_pride_validation | identity_continuity_resistance | kin_motivation | positive_transformation | practical_competence | principle_purpose_orientation | reframing_as_training | routine_internalisation"
"chapter6_aggregate","Paintings / reflective zone",2,"ambivalent_unresolved_change | hope_resilience"
"chapter7_aggregate","Chapter 4 conceptualisation",35,"chapter4::authority_legitimacy_intent | chapter4::authority_maintenance | chapter4::breach_correction | chapter4::conformity_without_assent | chapter4::consequence_managed_compliance | chapter4::context_observation_variability | chapter4::durability_after_control | chapter4::extrinsic_motive_compliance | chapter4::eye_service_appearance_gap | chapter4::goal_persistence | chapter4::hierarchy_authority | chapter4::innate_natural_claim | chapter4::moral_neutral_discipline | chapter4::motivation_vs_discipline | chapter4::non_negotiable_army_order | chapter4::obedience_threshold | chapter4::operational_reliability_risk | chapter4::personal_responsibility_moralisation | chapter4::prior_home_values | chapter4::prior_socialisation_mismatch | chapter4::public_reputation_expectation | chapter4::punishment_enforcement | chapter4::repetition_habit_memory | chapter4::rule_order_tacit_norms | chapter4::self_discipline_personal_rule | chapter4::self_regulation_autonomy | chapter4::standard_uncertainty_modelling | chapter4::strategic_display_persona | chapter4::surveillance_visibility | chapter4::trust_credibility | chapter4::unwatched_durability_test | chapter4::values_character_carrier | chapter4::visible_signs_legibility | chapter4::widened_life_governance | anchor_chapter4"
"chapter7_aggregate","Chapter 5 operationalisation",34,"chapter5::accountability_orientation | chapter5::adaptation_timetable | chapter5::bodily_proof | chapter5::bodily_regulation | chapter5::bodily_restriction | chapter5::bodily_sign_reading | chapter5::coercive_correction | chapter5::collective_accountability | chapter5::competitive_pressure | chapter5::consequence_linkage | chapter5::durability_testing | chapter5::embodied_standardisation | chapter5::emulative_alignment | chapter5::equal_standard_enforcement | chapter5::explanatory_reasoning | chapter5::factionalisation_risk | chapter5::group_standard_imposition | chapter5::habit_interruption | chapter5::habit_repetition | chapter5::lateral_surveillance | chapter5::motivational_activation | chapter5::peer_correction | chapter5::persistence_beyond_training | chapter5::psychological_uncertainty | chapter5::reciprocal_obligation | chapter5::relational_influence | chapter5::ritualised_unity | chapter5::standard_setting | chapter5::symbolic_coercion | chapter5::symbolic_cohesion | chapter5::temporal_control | chapter5::unstable_group_cohesion | chapter5::visibility_supervision | anchor_chapter5"
"chapter7_aggregate","Chapter 6 experience",34,"chapter6::alternative_oppositional_future | chapter6::ambivalent_unresolved_change | chapter6::authority_disregard | chapter6::bodily_harm_danger | chapter6::dangerous_becoming | chapter6::depletion_exhaustion | chapter6::discipline_boundary_judgement | chapter6::endurance_conditioning | chapter6::exclusion_isolation | chapter6::family_separation_priority | chapter6::group_fragmentation | chapter6::group_pride_validation | chapter6::hope_resilience | chapter6::humiliation_display | chapter6::identity_continuity_resistance | chapter6::kin_motivation | chapter6::learning_support | chapter6::needed_responsibility | chapter6::peer_care_solidarity | chapter6::peer_mistrust_betrayal | chapter6::positive_transformation | chapter6::practical_competence | chapter6::principle_purpose_orientation | chapter6::psychological_wounding | chapter6::racialised_degradation | chapter6::reframing_as_training | chapter6::respect_recognition | chapter6::routine_internalisation | chapter6::self_protection_boundary | chapter6::silencing_nonresponse | chapter6::structural_powerlessness | chapter6::temporal_disruption | chapter6::verbal_degradation | anchor_chapter6"
"chapter4_comparison","Instructors · Obedience",8,":Instructors::authority_legitimacy_intent | :Instructors::authority_maintenance | :Instructors::hierarchy_authority | :Instructors::non_negotiable_army_order | :Instructors::obedience_threshold | :Instructors::public_reputation_expectation | :Instructors::punishment_enforcement | :Instructors::trust_credibility"
"chapter4_comparison","Instructors · Internalisation",8,":Instructors::context_observation_variability | :Instructors::moral_neutral_discipline | :Instructors::personal_responsibility_moralisation | :Instructors::prior_home_values | :Instructors::prior_socialisation_mismatch | :Instructors::repetition_habit_memory | :Instructors::self_regulation_autonomy | :Instructors::widened_life_governance"
"chapter4_comparison","Instructors · Performativity",4,":Instructors::eye_service_appearance_gap | :Instructors::motivation_vs_discipline | :Instructors::unwatched_durability_test | :Instructors::visible_signs_legibility"
"chapter4_comparison","School leaders · Obedience",11,":School leaders::authority_legitimacy_intent | :School leaders::authority_maintenance | :School leaders::breach_correction | :School leaders::hierarchy_authority | :School leaders::non_negotiable_army_order | :School leaders::obedience_threshold | :School leaders::operational_reliability_risk | :School leaders::public_reputation_expectation | :School leaders::punishment_enforcement | :School leaders::rule_order_tacit_norms | :School leaders::trust_credibility"
"chapter4_comparison","School leaders · Internalisation",13,":School leaders::conformity_without_assent | :School leaders::context_observation_variability | :School leaders::extrinsic_motive_compliance | :School leaders::goal_persistence | :School leaders::innate_natural_claim | :School leaders::moral_neutral_discipline | :School leaders::personal_responsibility_moralisation | :School leaders::prior_home_values | :School leaders::prior_socialisation_mismatch | :School leaders::repetition_habit_memory | :School leaders::self_discipline_personal_rule | :School leaders::self_regulation_autonomy | :School leaders::widened_life_governance"
"chapter4_comparison","School leaders · Performativity",9,":School leaders::consequence_managed_compliance | :School leaders::durability_after_control | :School leaders::eye_service_appearance_gap | :School leaders::standard_uncertainty_modelling | :School leaders::strategic_display_persona | :School leaders::surveillance_visibility | :School leaders::unwatched_durability_test | :School leaders::values_character_carrier | :School leaders::visible_signs_legibility"
"chapter5_comparison","Instructors · Hearts and minds",10,":Instructors::consequence_linkage | :Instructors::explanatory_reasoning | :Instructors::habit_repetition | :Instructors::motivational_activation | :Instructors::persistence_beyond_training | :Instructors::psychological_uncertainty | :Instructors::reciprocal_obligation | :Instructors::relational_influence | :Instructors::standard_setting | :Instructors::symbolic_coercion"
"chapter5_comparison","Instructors · Individual body",3,":Instructors::bodily_restriction | :Instructors::bodily_sign_reading | :Instructors::coercive_correction"
"chapter5_comparison","Instructors · Group",9,":Instructors::collective_accountability | :Instructors::competitive_pressure | :Instructors::emulative_alignment | :Instructors::equal_standard_enforcement | :Instructors::factionalisation_risk | :Instructors::group_standard_imposition | :Instructors::lateral_surveillance | :Instructors::peer_correction | :Instructors::unstable_group_cohesion"
"chapter5_comparison","School leaders · Hearts and minds",10,":School leaders::consequence_linkage | :School leaders::explanatory_reasoning | :School leaders::habit_repetition | :School leaders::motivational_activation | :School leaders::persistence_beyond_training | :School leaders::psychological_uncertainty | :School leaders::reciprocal_obligation | :School leaders::relational_influence | :School leaders::standard_setting | :School leaders::symbolic_coercion"
"chapter5_comparison","School leaders · Individual body",6,":School leaders::adaptation_timetable | :School leaders::bodily_restriction | :School leaders::bodily_sign_reading | :School leaders::coercive_correction | :School leaders::durability_testing | :School leaders::habit_interruption"
"chapter5_comparison","School leaders · Group",3,":School leaders::collective_accountability | :School leaders::lateral_surveillance | :School leaders::peer_correction"
"chapter6_comparison","Male youths · Breaking",9,":Male youths::bodily_harm_danger | :Male youths::depletion_exhaustion | :Male youths::discipline_boundary_judgement | :Male youths::family_separation_priority | :Male youths::humiliation_display | :Male youths::psychological_wounding | :Male youths::racialised_degradation | :Male youths::temporal_disruption | :Male youths::verbal_degradation"
"chapter6_comparison","Male youths · Belonging",9,":Male youths::authority_disregard | :Male youths::learning_support | :Male youths::needed_responsibility | :Male youths::peer_care_solidarity | :Male youths::peer_mistrust_betrayal | :Male youths::respect_recognition | :Male youths::self_protection_boundary | :Male youths::silencing_nonresponse | :Male youths::structural_powerlessness"
"chapter6_comparison","Male youths · Becoming",11,":Male youths::alternative_oppositional_future | :Male youths::dangerous_becoming | :Male youths::endurance_conditioning | :Male youths::group_pride_validation | :Male youths::identity_continuity_resistance | :Male youths::kin_motivation | :Male youths::positive_transformation | :Male youths::practical_competence | :Male youths::principle_purpose_orientation | :Male youths::reframing_as_training | :Male youths::routine_internalisation"
"chapter6_comparison","Female youths · Breaking",9,":Female youths::bodily_harm_danger | :Female youths::depletion_exhaustion | :Female youths::discipline_boundary_judgement | :Female youths::family_separation_priority | :Female youths::humiliation_display | :Female youths::psychological_wounding | :Female youths::racialised_degradation | :Female youths::temporal_disruption | :Female youths::verbal_degradation"
"chapter6_comparison","Female youths · Belonging",9,":Female youths::authority_disregard | :Female youths::exclusion_isolation | :Female youths::group_fragmentation | :Female youths::needed_responsibility | :Female youths::peer_care_solidarity | :Female youths::peer_mistrust_betrayal | :Female youths::respect_recognition | :Female youths::silencing_nonresponse | :Female youths::structural_powerlessness"
"chapter6_comparison","Female youths · Becoming",8,":Female youths::alternative_oppositional_future | :Female youths::dangerous_becoming | :Female youths::endurance_conditioning | :Female youths::kin_motivation | :Female youths::positive_transformation | :Female youths::principle_purpose_orientation | :Female youths::reframing_as_training | :Female youths::routine_internalisation"
